('1', '肖申克的救赎', '美国', '1994', '弗兰克·德拉邦特 Frank Darabont')
('2', '霸王别姬', '中国大陆 香港', '1993', '陈凯歌 Kaige Chen')
('3', '这个杀手不太冷', '法国', '1994', '吕克·贝松 Luc Besson')
('4', '阿甘正传', '美国', '1994', '罗伯特·泽米吉斯 Robert Zemeckis')
('5', '美丽人生', '意大利', '1997', '罗伯托·贝尼尼 Roberto Benigni')
('6', '千与千寻', '日本', '2001', '宫崎骏 Hayao Miyazaki')
('7', '泰坦尼克号', '美国', '1997', '詹姆斯·卡梅隆 James Cameron')
('8', '辛德勒的名单', '美国', '1993', '史蒂文·斯皮尔伯格 Steven Spielberg')
('9', '盗梦空间', '美国 英国', '2010', '克里斯托弗·诺兰 Christopher Nolan')
('10', '忠犬八公的故事', '美国 英国', '2009', '莱塞·霍尔斯道姆 Lasse Hallström')
('11', '机器人总动员', '美国', '2008', '安德鲁·斯坦顿 Andrew Stanton')
('12', '三傻大闹宝莱坞', '印度', '2009', '拉库马·希拉尼 Rajkumar Hirani')
('13', '放牛班的春天', '法国 瑞士 德国', '2004', '克里斯托夫·巴拉蒂 Christophe Barratier')
('14', '海上钢琴师', '意大利', '1998', '朱塞佩·托纳多雷 Giuseppe Tornatore')
('15', '楚门的世界', '美国', '1998', '彼得·威尔 Peter Weir')
('16', '大话西游之大圣娶亲', '香港 中国大陆', '1995', '刘镇伟 Jeffrey Lau')
('17', '星际穿越', '美国 英国 加拿大 冰岛', '2014', '克里斯托弗·诺兰 Christopher Nolan')
('18', '龙猫', '日本', '1988', '宫崎骏 Hayao Miyazaki')
('19', '熔炉', '韩国', '2011', '黄东赫 Dong-hyuk Hwang')
('20', '教父', '美国', '1972', '弗朗西斯·福特·科波拉 Francis Ford Coppola')
('21', '无间道', '香港', '2002', '刘伟强 / 麦兆辉')
('22', '疯狂动物城', '美国', '2016', '拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore')
('23', '当幸福来敲门', '美国', '2006', '加布里尔·穆奇诺 Gabriele Muccino')
('24', '怦然心动', '美国', '2010', '罗伯·莱纳 Rob Reiner')
('25', '触不可及', '法国', '2011', '奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano')
('26', '蝙蝠侠：黑暗骑士', '美国 英国', '2008', '克里斯托弗·诺兰 Christopher Nolan')
('27', '乱世佳人', '美国', '1939', '维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor')
('28', '活着', '中国大陆 香港', '1994', '张艺谋 Yimou Zhang')
('29', '控方证人', '美国', '1957', '比利·怀尔德 Billy Wilder')
('30', '少年派的奇幻漂流', '美国 台湾 英国 加拿大', '2012', '李安 Ang Lee')
('31', '指环王3：王者无敌', '美国 新西兰', '2003', '彼得·杰克逊 Peter Jackson')
('32', '摔跤吧！爸爸', '印度', '2016', '涅提·蒂瓦里 Nitesh Tiwari')
('33', '天空之城', '日本', '1986', '宫崎骏 Hayao Miyazaki')
('34', '鬼子来了', '中国大陆', '2000', '姜文 Wen Jiang')
('35', '天堂电影院', '意大利 法国', '1988', '朱塞佩·托纳多雷 Giuseppe Tornatore')
('36', '十二怒汉', '美国', '1957', 'Sidney Lumet')
('37', '飞屋环游记', '美国', '2009', '彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson')
('38', '大话西游之月光宝盒', '香港 中国大陆', '1995', '刘镇伟 Jeffrey Lau')
('39', '哈尔的移动城堡', '日本', '2004', '宫崎骏 Hayao Miyazaki')
('40', '搏击俱乐部', '美国 德国', '1999', '大卫·芬奇 David Fincher')
('41', '罗马假日', '美国', '1953', '威廉·惠勒 William Wyler')
('42', '末代皇帝', '英国 意大利 中国大陆 法国', '1987', '贝纳尔多·贝托鲁奇 Bernardo Bertolucci')
('43', '寻梦环游记', '美国', '2017', '李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina')
('44', '闻香识女人', '美国', '1992', '马丁·布莱斯 Martin Brest')
('45', '辩护人', '韩国', '2013', '杨宇硕 Woo-seok Yang')
('46', '素媛', '韩国', '2013', '李濬益 Jun-ik Lee')
('47', '窃听风暴', '德国', '2006', '弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck')
('48', '死亡诗社', '美国', '1989', '彼得·威尔 Peter Weir')
('49', '两杆大烟枪', '英国', '1998', 'Guy Ritchie')
('50', '飞越疯人院', '美国', '1975', '米洛斯·福尔曼 Miloš Forman')
('51', '指环王2：双塔奇兵', '美国 新西兰', '2002', '彼得·杰克逊 Peter Jackson')
('52', '教父2', '美国', '1974', '弗朗西斯·福特·科波拉 Francis Ford Coppola')
('53', '指环王1：魔戒再现', '新西兰 美国', '2001', '彼得·杰克逊 Peter Jackson')
('54', '狮子王', '美国', '1994', 'Roger Allers / 罗伯·明可夫 Rob Minkoff')
('55', 'V字仇杀队', '美国 英国 德国', '2005', '詹姆斯·麦克特格 James McTeigue')
('56', '美丽心灵', '美国', '2001', '朗·霍华德 Ron Howard')
